@relation 'Keymind - BA-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1'

@attribute NR numeric
@attribute NFIX numeric
@attribute CHURN_SUM numeric
@attribute CHURN_AVG numeric
@attribute AGE numeric
@attribute Violations numeric
@attribute Size.Next numeric
@attribute Faultiness {FALSE,TRUE}

@data
14,6.076803,0,0,27.298121,0,18.903832,TRUE
10.463936,3.579501,0,0,33.604167,0,19.297435,TRUE
10.104386,7.652429,0,0,24.739568,0,9.327686,TRUE
14,7.231101,3.535781,4.672755,26.814492,0,9.482252,TRUE
9,5,12.451719,1.679071,27.540373,70,15,TRUE
6.237448,2.23062,2.764731,1.807746,26.991867,77.221072,29.895519,TRUE
9,5,26.504085,5.310666,27.400737,70,15,TRUE
8.613618,4.460484,10.734675,2.214645,26.841507,70.431935,30.556339,TRUE
9,5,18.271241,4.64879,25.556521,70,15,TRUE
6.483621,2.226609,0,0,27.801089,87.459266,24.654123,TRUE
17.770292,9.362094,0,0,27.942066,87.7611,33.574673,TRUE
6,2,1.863542,1.973161,23.644075,95,32,TRUE
6,2,0,0,41.517732,95,32,TRUE
7.689134,4.045772,0,0,27.248391,80.980791,19.455409,TRUE
6,2,0,0,27.390488,95,32,TRUE
3.044732,1.021241,0,0,25.439285,87.572712,30.131125,TRUE
11.373284,8.724169,0,0,28.46566,86.383931,34.334898,TRUE
9.191848,3.743123,0,0,27,0,23.498561,TRUE
10.849409,4,0,0,25.050353,1.6197,34.397873,TRUE
12.925808,4,0,0,25.420148,0.085058,33.236539,TRUE
9.005413,3.996498,0,0,20.241749,0,27.101294,TRUE
6.921397,4,0,0,26.681206,3.865101,34.040814,TRUE
7.001647,4,0,0,28.955871,3.47407,26.850209,TRUE
10.859065,3.721453,0,0,22.70222,0,26.11845,TRUE
17.07949,10.290459,0,0,27.397288,70.917367,73.684693,TRUE
21.368436,5.44626,1.38519,0.692162,41.576908,73.966351,173.189832,TRUE
15.11328,6.931117,0,0,28.543738,65.302031,131.772731,TRUE
12,4,0,0,38.958294,64,144,TRUE
18.460956,16.166885,1.147111,0.944167,27.256776,70.787457,206.379507,TRUE
15.521392,16.252035,0,0,28.757764,79.589816,85.646615,TRUE
5.96171,1.673364,1.037629,0.139564,25.736568,39.392618,29,TRUE
5.816007,1.017919,0,0,26.650693,24.016898,22.924327,TRUE
4.236626,1.935603,0,0,31.040379,37.938575,26.328418,TRUE
5.296755,1.306102,1.006614,0.545556,26.488452,40.686551,29,TRUE
4.905041,0.520045,0,0,26.872954,28.141895,14.505446,TRUE
2.497171,1.400698,0,0,26.197569,35.256597,14.065996,TRUE
4.331706,1.461006,0,0,27,33.549438,13.279901,TRUE
8.227253,3,0,0,21.493309,0,23.394652,TRUE
11.201812,6.273125,0,0,27.343182,0,13.268058,TRUE
12.165241,3.659761,0,0,27,0,22.037907,TRUE
5.427015,3,0,0,22.939857,0,24.414118,TRUE
10.063915,5.963392,0,0,27.569596,0,17.765088,TRUE
7.460105,3,0,0,24.908897,0,21.573762,TRUE
4.756201,1,4.62559,0.989882,26.712078,35.386814,12.844967,TRUE
1.607488,0.259484,0,0,26.08719,21.540653,10.854783,TRUE
1.85245,0.568187,0,0,28.917513,21.949066,10.438889,TRUE
2,1,0,0,32.570793,33,12,TRUE
5.571392,1.872974,0,0,27,40.498615,16.089631,TRUE
3.367884,1.935844,0,0,27,38.425583,16.281428,TRUE
2.717885,0.674832,0,0,23.939625,15.823699,10.618844,TRUE
5.644753,1.593934,0,0,25.388271,7.046482,9.726734,TRUE
1.045522,3.364802,0,0,23.088515,13.403915,12.816146,TRUE
8.235357,6.843926,0,0,23.40999,3.079502,9.597269,TRUE
2.989125,4.833313,0,0,24.860036,5.125254,9.584193,TRUE
1.099763,0.622307,0,0,26.04392,19.726947,11.229688,TRUE
8.483027,0.267497,0,0,26.469242,0.302,13.699972,TRUE
7.792527,1.395164,2.765713,2.131936,25.0271,104.193858,26.31751,TRUE
7.854981,1.401118,2.959473,2.403795,23.815598,192.988229,25.88243,TRUE
7.950093,1.81749,8.968492,2.752864,24.881369,150.523949,26.438314,TRUE
20.734694,3.735154,1.159465,1.366967,26.744359,181.492724,26.465104,TRUE
6.626563,1.348028,1.477189,1.102436,26.093937,209.518649,29.807305,TRUE
12.517529,13.89729,0.203873,1.230364,26.500747,106.300967,33.868937,TRUE
6.389249,1.186647,8.865597,2.798579,23.028495,124.870215,25.383648,TRUE
14,5.048232,2.539205,4.955153,26.064722,0,18.28499,TRUE
14,7.389075,1.60577,3.318706,26.667997,0,8.708122,TRUE
11.738027,3.907748,1.761288,3.549835,27.426492,0,19.09713,TRUE
10.885505,8,4.815044,1.072773,25.916073,0,8.597133,TRUE
11.679324,3.953836,0.09161,3.790015,27.609833,0,12.621466,TRUE
13.203402,4.490486,3.654249,1.110379,26.352727,0,10.043677,TRUE
11.345115,8,3.241373,4.786882,23.06937,0,8.722176,TRUE
6.177599,4,0,0,26.530623,2.829149,27.129449,TRUE
4,4,0,0,26.668593,8.8288,30.828287,TRUE
4.139625,3.18251,0,0,21.449661,1.241742,28.833675,TRUE
4,4,0,0,26.804956,5.309224,33.709794,TRUE
4,4,0,0,25.555747,7.907053,30.328296,TRUE
6.097108,4,0,0,26.163722,0.183537,26.992085,TRUE
4.960772,1,0.882402,0.546303,23,41.926678,18.530101,TRUE
2,1,0,0,26.620657,49.167122,10.176579,TRUE
7.333716,2.330574,0,0,26.185515,65.975426,11.91855,TRUE
5.870027,1.212838,0,0,24.416609,58.630091,27.182348,TRUE
2,1,0,0,26.616218,52.141454,9.457274,TRUE
7.5451,4.710211,3.974537,5.617016,23.618722,61.491952,10.48799,TRUE
4,4,0,0,30.837145,5,35,TRUE
5.765006,3.969637,0,0,44.854419,3.137529,33.785141,TRUE
7.498386,4,0,0,44.484763,0.690268,33.049671,TRUE
13.232028,4,0,0,44.600618,1.335104,26.925409,TRUE
5.32678,4,0,0,44.225149,3.958024,27.435891,TRUE
7.236448,4,0,0,44.614254,1.188263,31.356437,TRUE
25.360412,7.43629,0.641623,0.69517,44.889169,92.772988,119.406008,TRUE
22.425905,16.25171,1.582172,1.503052,36.332368,70.316476,162.736966,TRUE
32.090812,18.596399,0.137143,0.167056,40.012836,87.776709,65.229964,TRUE
32.302823,14.397897,1.036594,0.309631,33.524673,69.841855,193.286131,TRUE
30.141779,11.873754,0.428006,0.740637,44.217347,92.033796,214.764192,TRUE
14.325053,5.146121,0.943609,1.224193,33.217254,78.21544,190.709999,TRUE
16.359752,17.144785,1.110466,0.8779,44.031034,83.496787,191.699235,TRUE
23.928669,7.716965,0,0,43.627616,93.537389,33.875427,TRUE
6,2,0,0,42.996116,95,32,TRUE
6,2,2.231012,2.950339,38.094313,95,32,TRUE
