"Original.Release","Release","Order","NR","NREF","NFIX","NAUTH","LINES_SUM","LINES_MAX","LINES_AVG","CHURN_SUM","CHURN_MAX","CHURN_AVG","CHGSET_SUM","CHGSET_MAX","CHGSET_AVG","AGE","AGE_WEIGHTED","Impl","LOC.A","LOC.M","LOC.D","Size","Violations.Injected","Violations","Size.Next","Faultiness"
"Keymind-B",102,"FIRST",12,0,8,0,0,0,0,0,0,0,0,0,0,27,23,0,0,0,0,0,0,0,10,FALSE
"Keymind-B",102,"FIRST",4,0,4,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,35,FALSE
"Keymind-B",102,"FIRST",2,0,0,0,0,0,0,0,0,0,0,0,0,27,23,0,0,0,0,0,1,6,23,FALSE
"Keymind-B",102,"FIRST",9,0,3,0,0,0,0,0,0,0,0,0,0,27,23,0,0,0,0,0,0,0,20,TRUE
"Keymind-B",102,"FIRST",2,0,1,1,0,0,0,0,0,0,2,2,2,27,0,1,0,1,0,9,0,33,12,TRUE
"Keymind-B",102,"FIRST",1,0,0,0,0,0,0,0,0,0,0,0,0,26,22,0,0,0,0,0,0,17,10,TRUE
"Keymind-B",102,"FIRST",2,0,1,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,11,FALSE
"Keymind-B",102,"FIRST",3,0,2,0,0,0,0,0,0,0,0,0,0,26,22,0,0,0,0,0,0,0,9,FALSE
"Keymind-B",102,"FIRST",2,0,1,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,12,FALSE
"Keymind-B",102,"FIRST",3,0,1,0,0,0,0,0,0,0,0,0,0,26,22,0,0,0,0,0,0,0,10,FALSE
"Keymind-B",102,"FIRST",6,0,2,0,0,0,0,0,0,0,0,0,0,26,22,0,0,0,0,0,0,15,16,FALSE
"Keymind-B",102,"FIRST",2,0,1,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,7,10,FALSE
"Keymind-B",102,"FIRST",5,0,1,0,0,0,0,0,0,0,0,0,0,26,22,0,0,0,0,0,0,0,28,FALSE
"Keymind-B",102,"FIRST",4,0,1,0,0,0,0,0,0,0,0,0,0,26,22,0,0,0,0,0,0,0,35,FALSE
"Keymind-B",102,"FIRST",7,0,1,0,0,0,0,0,0,0,0,0,0,26,22,0,0,0,0,0,0,16,19,FALSE
"Keymind-B",102,"FIRST",2,0,2,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,9,FALSE
"Keymind-B",102,"FIRST",2,0,2,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,11,FALSE
"Keymind-B",102,"FIRST",1,0,0,0,0,0,0,0,0,0,0,0,0,26,22,0,0,0,0,0,0,19,25,FALSE
"Keymind-B",102,"FIRST",8,0,1,1,2,2,2,2,2,2,1,1,1,26,22,1,2,1,0,11,2,213,24,TRUE
"Keymind-B",102,"FIRST",14,0,8,1,5,5,5,5,5,5,5,2,1,26,22,1,5,0,0,12,0,0,8,TRUE
"Keymind-B",102,"FIRST",2,0,2,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,33,9,FALSE
"Keymind-B",102,"FIRST",16,0,0,0,0,0,0,0,0,0,0,0,0,25,21,0,0,0,0,0,0,31,37,FALSE
"Keymind-B",102,"FIRST",6,0,0,0,0,0,0,0,0,0,0,0,0,25,21,0,0,0,0,0,0,0,96,FALSE
"Keymind-B",102,"FIRST",2,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,36,FALSE
"Keymind-B",102,"FIRST",1,0,0,0,0,0,0,0,0,0,0,0,0,25,21,0,0,0,0,0,0,0,141,FALSE
"Keymind-B",102,"FIRST",1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,51,FALSE
